15	886152569820	B121S18003	SEGMENT	01	BERRICS MENS	GRY 	GREY	XX	XXXL	22	0			
15	886152627407	B121S18003	SEGMENT	01	BERRICS MENS	WHT 	WHITE	XX	XXS 	22	0			
15	886152627414	B121S18003	SEGMENT	01	BERRICS MENS	WHT 	WHITE	XX	XS  	22	0			
15	886152627421	B121S18003	SEGMENT	01	BERRICS MENS	WHT 	WHITE	XX	S   	22	0			
15	886152627438	B121S18003	SEGMENT	01	BERRICS MENS	WHT 	WHITE	XX	M   	22	0			
15	886152627445	B121S18003	SEGMENT	01	BERRICS MENS	WHT 	WHITE	XX	L   	22	0			
15	886152627452	B121S18003	SEGMENT	01	BERRICS MENS	WHT 	WHITE	XX	XL  	22	0			
15	886152627469	B121S18003	SEGMENT	01	BERRICS MENS	WHT 	WHITE	XX	XXL 	22	0			
15	886152627476	B121S18003	SEGMENT	01	BERRICS MENS	WHT 	WHITE	XX	XXXL	22	0			
15	886152627643	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	BLK 	BLACK	XX	XXS 	20	0			
15	886152627650	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	BLK 	BLACK	XX	XS  	20	0			
15	886152627667	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	BLK 	BLACK	XX	S   	20	0			
15	886152627674	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	BLK 	BLACK	XX	M   	20	0			
15	886152627681	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	BLK 	BLACK	XX	L   	20	0			
15	886152627698	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	BLK 	BLACK	XX	XL  	20	0			
15	886152627704	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	BLK 	BLACK	XX	XXL 	20	0			
15	886152627711	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	BLK 	BLACK	XX	XXXL	20	0			
15	886152569912	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	WHT 	WHITE	XX	XXS 	20	0			
15	886152569929	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	WHT 	WHITE	XX	XS  	20	0			
15	886152569936	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	WHT 	WHITE	XX	S   	20	0			
15	886152569943	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	WHT 	WHITE	XX	M   	20	0			
15	886152569950	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	WHT 	WHITE	XX	L   	20	0			
15	886152569967	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	WHT 	WHITE	XX	XL  	20	0			
15	886152569974	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	WHT 	WHITE	XX	XXL 	20	0			
15	886152569981	B121S18005	FRIENDLY FIRE	01	BERRICS MENS	WHT 	WHITE	XX	XXXL	20	0			
15	886152569998	B121S18006	WILCOX	01	BERRICS MENS	BLK 	BLACK	XX	XXS 	20	0			
15	886152570000	B121S18006	WILCOX	01	BERRICS MENS	BLK 	BLACK	XX	XS  	20	0			
15	886152570017	B121S18006	WILCOX	01	BERRICS MENS	BLK 	BLACK	XX	S   	20	0			
15	886152570024	B121S18006	WILCOX	01	BERRICS MENS	BLK 	BLACK	XX	M   	20	0			
15	886152570031	B121S18006	WILCOX	01	BERRICS MENS	BLK 	BLACK	XX	L   	20	0			
15	886152570048	B121S18006	WILCOX	01	BERRICS MENS	BLK 	BLACK	XX	XL  	20	0			
15	886152570055	B121S18006	WILCOX	01	BERRICS MENS	BLK 	BLACK	XX	XXL 	20	0			
15	886152570062	B121S18006	WILCOX	01	BERRICS MENS	BLK 	BLACK	XX	XXXL	20	0			
15	886152627728	B121S18006	WILCOX	01	BERRICS MENS	WHT 	WHITE	XX	XXS 	20	0			
15	886152627735	B121S18006	WILCOX	01	BERRICS MENS	WHT 	WHITE	XX	XS  	20	0			
15	886152627742	B121S18006	WILCOX	01	BERRICS MENS	WHT 	WHITE	XX	S   	20	0			
15	886152627759	B121S18006	WILCOX	01	BERRICS MENS	WHT 	WHITE	XX	M   	20	0			
15	886152627766	B121S18006	WILCOX	01	BERRICS MENS	WHT 	WHITE	XX	L   	20	0			
15	886152627773	B121S18006	WILCOX	01	BERRICS MENS	WHT 	WHITE	XX	XL  	20	0			
15	886152627780	B121S18006	WILCOX	01	BERRICS MENS	WHT 	WHITE	XX	XXL 	20	0			
15	886152627797	B121S18006	WILCOX	01	BERRICS MENS	WHT 	WHITE	XX	XXXL	20	0			
